Time,Tmean
2017-09-09 01:00:00,15.23333333
2017-09-09 02:00:00,15.01666667
2017-09-09 03:00:00,14.78333333
2017-09-09 04:00:00,14.81666667
2017-09-09 05:00:00,15.15833333
2017-09-09 06:00:00,14.69166667
2017-09-09 07:00:00,15.94166667
2017-09-09 08:00:00,18.50833333
2017-09-09 09:00:00,20.64
2017-09-09 10:00:00,23.7
2017-09-09 11:00:00,24.85
2017-09-09 12:00:00,23.68333333
2017-09-09 13:00:00,24.21666667
2017-09-09 14:00:00,24.74166667
2017-09-09 15:00:00,24.96666667
2017-09-09 16:00:00,25.24166667
2017-09-09 17:00:00,24.85833333
2017-09-09 18:00:00,23.69166667
2017-09-09 19:00:00,20.75
2017-09-09 20:00:00,19.10833333
2017-09-09 21:00:00,17.93333333
2017-09-09 22:00:00,17.225
2017-09-09 23:00:00,17.25
2017-09-10 00:00:00,17.95833333
2017-09-10 01:00:00,17.98333333
2017-09-10 02:00:00,17.70833333
2017-09-10 03:00:00,17.14166667
2017-09-10 04:00:00,16.75833333
2017-09-10 05:00:00,15.83333333
2017-09-10 06:00:00,15.45833333
2017-09-10 07:00:00,16.36666667
2017-09-10 08:00:00,20.1
2017-09-10 09:00:00,24.51666667
2017-09-10 10:00:00,26.31666667
2017-09-10 11:00:00,27.18333333
2017-09-10 12:00:00,28.325
2017-09-10 13:00:00,28.975
2017-09-10 14:00:00,29.53333333
2017-09-10 15:00:00,30.0
2017-09-10 16:00:00,29.63333333
2017-09-10 17:00:00,28.04166667
2017-09-10 18:00:00,26.16666667
2017-09-10 19:00:00,22.90833333
2017-09-10 20:00:00,20.88333333
2017-09-10 21:00:00,19.89166667
2017-09-10 22:00:00,19.3
2017-09-10 23:00:00,20.78333333
2017-09-11 00:00:00,19.38333333
2017-09-11 01:00:00,18.93333333
2017-09-11 02:00:00,18.93333333
2017-09-11 03:00:00,19.26666667
2017-09-11 04:00:00,20.93333333
2017-09-11 05:00:00,21.16666667
2017-09-11 06:00:00,20.13333333
2017-09-11 07:00:00,20.26666667
2017-09-11 08:00:00,22.24166667
2017-09-11 09:00:00,26.19166667
2017-09-11 10:00:00,27.45833333
2017-09-11 11:00:00,31.075
2017-09-11 12:00:00,32.09166667
2017-09-11 13:00:00,32.58333333
2017-09-11 14:00:00,32.71666667
2017-09-11 15:00:00,31.84166667
2017-09-11 16:00:00,28.90833333
2017-09-11 17:00:00,27.58333333
2017-09-11 18:00:00,27.625
2017-09-11 19:00:00,24.325
2017-09-11 20:00:00,20.06666667
2017-09-11 21:00:00,18.49166667
2017-09-11 22:00:00,16.94166667
2017-09-11 23:00:00,16.93333333
2017-09-12 00:00:00,16.71666667
2017-09-12 01:00:00,16.375
2017-09-12 02:00:00,16.14166667
2017-09-12 03:00:00,16.125
2017-09-12 04:00:00,15.775
2017-09-12 05:00:00,15.93333333
2017-09-12 06:00:00,16.1
2017-09-12 07:00:00,16.46666667
2017-09-12 08:00:00,17.15833333
2017-09-12 09:00:00,17.79166667
2017-09-12 10:00:00,18.94166667
2017-09-12 11:00:00,18.90833333
2017-09-12 12:00:00,20.075
2017-09-12 13:00:00,20.18333333
2017-09-12 14:00:00,20.85
2017-09-12 15:00:00,21.475
2017-09-12 16:00:00,21.73333333
2017-09-12 17:00:00,21.775
2017-09-12 18:00:00,20.81666667
2017-09-12 19:00:00,19.59166667
2017-09-12 20:00:00,18.39166667
2017-09-12 21:00:00,17.29166667
2017-09-12 22:00:00,15.925
2017-09-12 23:00:00,15.575
2017-09-13 00:00:00,16.2
2017-09-13 01:00:00,15.88333333
2017-09-13 02:00:00,15.29166667
2017-09-13 03:00:00,14.975
2017-09-13 04:00:00,14.925
2017-09-13 05:00:00,14.9
2017-09-13 06:00:00,14.61666667
2017-09-13 07:00:00,15.15833333
2017-09-13 08:00:00,16.69166667
2017-09-13 09:00:00,18.83333333
2017-09-13 10:00:00,20.01666667
2017-09-13 11:00:00,20.40833333
2017-09-13 12:00:00,21.49166667
2017-09-13 13:00:00,21.96666667
2017-09-13 14:00:00,22.5
2017-09-13 15:00:00,22.55
2017-09-13 16:00:00,22.48333333
2017-09-13 17:00:00,22.125
2017-09-13 18:00:00,20.925
2017-09-13 19:00:00,18.29166667
2017-09-13 20:00:00,16.35833333
2017-09-13 21:00:00,15.41666667
2017-09-13 22:00:00,14.84166667
2017-09-13 23:00:00,14.10833333
2017-09-14 00:00:00,13.88333333
2017-09-14 01:00:00,13.73333333
2017-09-14 02:00:00,13.55
2017-09-14 03:00:00,13.11666667
2017-09-14 04:00:00,13.09166667
2017-09-14 05:00:00,12.81666667
2017-09-14 06:00:00,12.16666667
2017-09-14 07:00:00,13.8
2017-09-14 08:00:00,18.21666667
2017-09-14 09:00:00,22.10833333
2017-09-14 10:00:00,25.2
2017-09-14 11:00:00,25.88333333
2017-09-14 12:00:00,26.83333333
2017-09-14 13:00:00,27.775
2017-09-14 14:00:00,28.05833333
2017-09-14 15:00:00,27.93333333
2017-09-14 16:00:00,27.49166667
2017-09-14 17:00:00,26.5
2017-09-14 18:00:00,24.15833333
2017-09-14 19:00:00,20.95
2017-09-14 20:00:00,18.975
2017-09-14 21:00:00,17.68333333
2017-09-14 22:00:00,16.85833333
2017-09-14 23:00:00,16.275
2017-09-15 00:00:00,16.30833333
2017-09-15 01:00:00,18.45833333
2017-09-15 02:00:00,17.49166667
2017-09-15 03:00:00,16.3
2017-09-15 04:00:00,15.59166667
2017-09-15 05:00:00,15.40833333
2017-09-15 06:00:00,15.23333333
2017-09-15 07:00:00,15.19166667
2017-09-15 08:00:00,16.51666667
2017-09-15 09:00:00,18.25
